pipeID,N1,N2
3,10002,21709
4,10004,10002
5,10004,10003
6,10006,10004
7,10008,10005
8,10007,10006
9,10011,10007
10,10009,10008
11,10008,10010
12,10012,10009
13,10009,10011
14,10012,10011
15,10014,10012
16,10016,10013
17,10016,10014
18,10014,10015
19,10018,10016
20,10021,10017
21,10017,10023
22,10017,10019
23,10024,10018
24,10018,10020
25,10019,10025
26,10019,10021
27,10034,10021
28,10023,10022
29,10023,10028
30,10043,10024
31,10024,10027
32,10036,10026
33,10037,10029
34,10033,10030
35,10031,10047
36,10034,10031
37,10033,10032
38,10040,10033
39,10033,10041
40,10049,10034
41,10040,10035
42,10058,10036
43,10036,10067
44,10053,10037
45,10042,10038
46,10049,10039
47,10058,10040
48,10048,10042
49,10042,10044
50,10043,10070
51,10076,10043
52,10078,10045
53,10048,10046
54,10047,10052
55,10049,10047
56,10053,10048
57,10060,10049
58,10055,10050
59,10057,10050
60,10050,10051
61,10051,10059
62,10051,10056
63,10071,10053
64,10062,10054
65,10057,10055
66,10061,10055
67,10063,10057
68,10058,10091
69,10062,10058
70,10077,10060
71,10063,10061
72,10069,10061
73,10067,10062
74,10063,10066
75,10064,10063
76,10073,10064
77,10064,10065
78,10108,10067
79,10071,10067
80,10079,10068
81,10073,10069
82,10081,10069
83,10176,10070
84,10076,10071
85,10085,10072
86,10073,10082
87,10086,10073
88,10075,10074
89,10074,10078
90,10074,10142
91,10077,10075
92,10105,10076
93,10079,10076
94,10080,10077
95,10093,10078
96,10113,10079
97,10095,10080
98,10086,10081
99,10088,10081
100,10123,10083
101,10085,10084
102,10092,10085
103,10096,10086
104,10086,10087
105,10087,10089
106,10087,10097
107,10096,10088
108,10098,10088
109,10089,10104
110,10089,10090
111,10090,10107
112,10090,10092
113,10095,10091
114,10091,10106
115,10092,10094
116,10092,10101
117,10093,10109
118,10093,10103
119,10095,10102
120,10114,10096
121,10114,10098
122,10112,10098
123,10103,10099
124,10108,10100
125,10100,10102
126,10120,10102
127,10103,10141
128,10111,10105
129,10111,10108
130,10109,10141
131,10109,10123
132,10126,10110
133,10113,10111
134,10112,10122
135,10115,10113
136,10114,10129
137,10122,10114
138,10117,10115
139,10129,10116
140,10118,10117
141,10127,10118
142,10120,10119
143,10156,10120
144,10121,10157
145,10122,10143
146,10127,10122
147,10123,10171
148,10123,10136
149,10126,10124
150,10157,10125
151,10152,10126
152,10173,10127
153,10153,10128
154,10129,10134
155,10160,10130
156,10133,10130
157,10131,T1
158,10132,10131
159,10132,10140
160,10132,10135
161,10133,10161
162,10137,10133
163,10135,10368
164,10136,10182
165,10136,10179
166,10137,10177
167,10139,10137
168,10138,10369
169,10145,10138
170,10139,10172
171,10139,10146
172,10140,10144
173,10140,10145
174,10141,10174
175,10143,10148
176,10144,10147
177,10144,10149
178,10146,10170
179,10146,10150
180,10147,10158
181,10149,10159
182,10150,10168
183,10150,10155
184,10152,10151
185,10154,10152
186,10152,10169
187,10163,10153
188,10157,10153
189,10156,10154
190,10154,10181
191,10155,10186
192,10155,10167
193,10156,10180
194,10157,10166
195,10158,10173
196,10159,4
197,10202,10160
198,10161,10221
199,10163,10162
200,10164,10163
201,10165,10164
202,10164,10191
203,10166,10165
204,10165,10185
205,10166,10183
206,10167,10204
207,10168,10167
208,10170,10168
209,10169,10197
210,10169,10193
211,10172,10170
212,10172,10190
213,10173,10175
214,10175,10178
215,10176,10187
216,10178,10187
217,10183,10201
218,10183,10184
219,10186,10235
220,10186,10188
221,10187,10195
222,10190,10189
223,10190,10206
224,10191,10194
225,10191,10192
226,10194,10217
227,10194,10196
228,10195,10274
229,10195,10203
230,10197,10198
231,10199,10201
232,10202,10199
233,10199,10207
234,10201,10200
235,10201,10215
236,10206,10202
237,10202,10250
238,10203,10205
239,10204,10206
240,10205,10204
241,10204,10210
242,10206,10212
243,10220,10208
244,10210,10209
245,10210,10214
246,10233,10211
247,10213,10212
248,10212,10219
249,10214,10213
250,10214,10253
251,10215,10229
252,10215,10218
253,10236,10216
254,10219,10245
255,10219,10223
256,10219,10220
257,10247,10220
258,10220,10221
259,10221,10222
260,10231,10224
261,10227,10225
262,10252,10226
263,10228,10227
264,10230,10228
265,10229,10230
266,10229,10238
267,10231,10239
268,10233,10231
269,10237,10232
270,10241,10233
271,10248,10234
272,10235,10236
273,10235,10251
274,10249,10236
275,10238,10237
276,10242,10237
277,10238,10244
278,10241,10240
279,10242,10241
280,10258,10242
281,10243,10242
282,10267,10243
283,10244,10243
284,10246,10244
285,10245,10257
286,10248,10245
287,10247,10245
288,10246,10273
289,10250,10246
290,10250,10247
291,10252,10248
292,10251,10249
293,10249,10253
294,10250,10284
295,10251,10264
296,10253,10252
297,10253,10263
298,10262,10254
299,10260,10255
300,10257,10256
301,10257,10285
302,10266,10258
303,10258,10259
304,10275,10260
305,10268,10260
306,10269,10261
307,10264,10262
308,10262,10263
309,10262,10271
310,10263,10280
311,10264,10318
312,10266,10265
313,10275,10266
314,10266,10267
315,10273,10267
316,10268,10272
317,10268,10269
318,10269,10287
319,10278,10270
320,10272,10295
321,10272,10290
322,10282,10273
323,10274,10402
324,10274,10278
325,10279,10275
326,10275,10299
327,10276,10277
328,10278,10276
329,10277,10280
330,10281,10279
331,10279,10346
332,10280,10285
333,10289,10280
334,10280,10310
335,10282,10281
336,10281,10312
